subj,node1,node2,irt5,irt9,irt95
S107,fox,lemur,1,1,0
S107,chimpanzee,puma,0,1,0
S108,fish,rooster,1,1,1
S108,crocodile,elephant,0,1,0
S108,gorilla,snake,1,1,0
S108,camel,donkey,1,1,1
S108,ape,rat,1,1,0
S108,donkey,lizard,1,0,0
S108,chicken,rabbit,1,0,0
S108,mammoth,sloth,1,1,1
S108,orca,whale,0,1,0
S108,crocodile,snake,0,1,0
S108,cow,duck,0,1,0
S108,shark,whale,1,1,1
S108,fish,octopus,1,1,0
S108,bat,whale,1,1,1
S108,cat,chicken,1,1,1
S108,tuna,whale,1,0,1
S108,hippopotamus,parrot,0,1,1
S108,parrot,sheep,1,1,1
S108,ram,sheep,1,1,1
S108,chicken,goose,1,0,0
S108,shark,tuna,1,1,0
S108,lizard,snake,0,1,1
S108,orca,seal,1,1,1
S108,emu,ostrich,1,1,1
S108,salmon,zebra,1,0,0
S108,crocodile,lizard,0,1,1
S108,camel,lizard,0,0,1
S108,rabbit,rooster,1,1,1
S108,possum,sloth,1,0,0
S108,donkey,giraffe,1,1,0
S108,crocodile,rabbit,1,0,0
S108,chipmunk,gorilla,1,1,1
S108,manatee,shark,1,1,0
S108,emu,rat,1,1,1
S108,dolphin,orca,1,1,1
S108,hamster,snake,0,1,1
S108,coyote,walrus,1,1,1
S108,goose,octopus,1,1,1
S108,fox,tuna,1,1,0
S108,parrot,snake,1,0,0
S108,hippopotamus,owl,0,1,0
S108,alligator,whale,1,0,0
S108,manatee,walrus,1,1,1
S108,pig,sheep,1,1,1
S108,chipmunk,tiger,1,1,0
S108,buffalo,cow,1,1,1
S108,beaver,otter,1,1,1
S108,rat,turtle,1,1,1
S108,hamster,parrot,1,1,1
S108,duck,horse,1,0,1
S108,dolphin,manatee,1,1,1
S108,otter,tiger,1,1,1
S108,fox,salmon,1,1,1
S108,gorilla,rat,1,1,1
S108,cheetah,gazelle,1,1,1
S108,chipmunk,possum,1,0,1
S108,elephant,leopard,1,1,1
S108,chicken,dog,1,1,1
S108,giraffe,wolf,1,0,0
S108,cheetah,chipmunk,0,1,0
S108,chicken,lizard,1,0,0
S108,mammoth,zebra,1,1,1
S108,alligator,hippopotamus,1,0,0
S108,chipmunk,sloth,1,1,1
S108,alligator,bat,1,1,1
S108,ape,owl,1,1,1
S108,donkey,elephant,1,1,0
S108,beaver,mammoth,1,1,0
S108,mouse,turtle,1,1,0
S108,coyote,wolf,1,1,1
S108,cat,sheep,1,1,0
S108,alligator,seal,1,1,1
S108,cow,dog,1,1,1
S108,cheetah,possum,0,1,0
S108,gorilla,mouse,1,1,0
S108,donkey,wolf,1,1,1
S108,owl,parrot,1,0,1
S108,coyote,manatee,1,1,0
S108,buffalo,horse,0,1,0
S108,giraffe,tiger,1,0,0
S108,salmon,whale,1,0,0
S108,ape,gorilla,1,1,1
S108,fish,shrimp,1,1,1
S108,cat,cow,1,1,0
S108,beaver,sloth,1,1,1
S108,snake,turtle,1,1,1
S108,chicken,duck,1,0,0
S108,monkey,snake,1,0,1
S108,gorilla,monkey,1,1,1
S108,camel,elephant,1,1,1
S108,chipmunk,otter,1,1,1
S108,gorilla,sloth,0,1,0
S108,cat,pig,1,1,0
S108,chinchilla,rabbit,1,1,1
S108,octopus,shrimp,1,1,1
S108,leopard,possum,1,0,1
S108,alligator,turtle,1,0,0
S108,cow,goose,0,1,0
S108,fox,zebra,1,1,1
S108,duck,lizard,1,1,1
S108,gazelle,hippopotamus,1,1,1
S108,rabbit,snake,1,1,0
S108,gazelle,giraffe,1,1,1
S108,crocodile,turtle,1,1,1
S108,gazelle,lion,1,1,1
S108,bear,leopard,0,0,1
S108,hippopotamus,snake,0,0,1
S108,hippopotamus,turtle,0,1,0
S108,bear,seal,1,1,1
S109,panda,shark,1,1,1
S109,lamb,sheep,1,1,1
S109,bull,rabbit,1,1,0
S109,duck,elephant,1,1,0
S109,cow,ox,1,1,0
S109,deer,pigeon,1,1,1
S109,camel,moose,1,1,0
S109,bull,sheep,1,1,1
S109,parakeet,pigeon,1,1,1
S109,duck,penguin,1,1,1
S109,bull,ox,1,1,1
S109,chimpanzee,monkey,1,1,1
S109,lamb,moose,1,1,0
S109,bull,rat,1,1,0
