subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5
S100,hippopotamus,sloth,0,1,0,0,0,0,1,0
S100,giraffe,ray,0,1,0,0,0,0,1,1
S100,goose,swan,1,1,0,1,1,0,1,1
S100,fish,crab,0,1,0,0,0,0,1,0
S100,sloth,rabbit,0,1,0,0,0,0,1,0
S100,mountainlion,puma,0,1,0,0,0,0,1,1
S100,hammerheadshark,alpaca,0,0,0,0,0,1,0,0
S100,spidermonkey,parakeet,0,0,0,0,0,1,0,0
S100,sealion,penguin,1,1,0,1,0,0,1,1
S100,grizzlybear,bat,0,1,0,0,0,0,1,0
S100,blackbear,grizzlybear,1,1,0,1,1,0,1,1
S100,wildcat,gorilla,1,0,0,0,0,0,0,0
S100,stinkbug,swordfish,0,0,0,0,0,1,0,0
S100,cobra,firefly,0,0,0,0,0,1,0,0
S100,warthog,gorilla,0,0,0,0,0,1,0,0
S100,komododragon,goat,1,1,1,0,0,0,1,1
S100,rat,ferret,0,1,0,1,0,0,1,0
S100,macaw,cottonmouth,0,0,0,0,0,1,0,0
S100,kinkajou,chimpanzee,1,1,0,1,1,0,1,1
S100,goose,pigeon,0,1,0,1,0,0,1,0
S100,bullfrog,gnat,0,0,0,0,0,1,0,0
S100,labradorretriever,goldenretriever,1,1,0,0,1,0,1,1
S100,ferret,flamingo,0,1,0,0,0,0,1,0
S100,rhinoceros,penguin,0,1,0,0,0,0,1,0
S100,anteater,bandicoot,0,0,0,0,0,1,0,0
S100,cassowary,alligator,0,1,0,0,0,0,1,1
S100,bobcat,lark,0,0,0,0,0,1,0,0
S100,dog,cat,1,1,1,1,1,0,1,1
S100,stinkbug,parrot,0,0,0,0,0,0,1,0
S100,salamander,starfish,0,0,0,0,0,1,0,0
S100,cat,jackal,0,1,0,0,0,0,1,0
S100,coyote,turkey,0,1,0,0,0,0,1,1
S100,rhinoceros,tiger,0,1,0,0,0,0,1,0
S100,lizard,eel,0,1,0,0,0,0,1,0
S100,bird,lobster,0,0,0,0,0,1,0,0
S100,bobcat,cat,0,1,0,0,0,0,1,0
S100,hippopotamus,sealion,0,1,0,0,0,0,1,0
S100,goat,wallaby,0,1,0,0,0,0,1,0
S100,bullfrog,bunny,0,0,0,0,0,1,0,0
S100,chameleon,spider,0,0,0,0,0,1,0,0
S100,octopus,penguin,0,1,0,0,0,0,1,0
S100,iguana,camel,0,1,0,0,0,0,1,0
S100,stallion,ermine,0,0,0,0,0,1,0,0
S100,goldenretriever,ray,0,0,0,0,0,1,0,0
S100,bull,bruin,1,1,0,0,1,0,1,1
S100,lizard,bug,1,1,0,0,1,0,1,1
S100,kitten,lizard,1,1,0,0,1,0,1,1
S100,gopher,warthog,0,0,0,0,0,1,0,0
S100,bull,wolf,0,1,0,0,0,0,0,0
S100,guineapig,hamster,1,1,0,1,1,0,1,1
S100,llama,snake,0,1,0,0,0,0,1,0
S100,dragon,lizard,0,1,0,0,0,0,1,1
S100,donkey,moose,0,1,0,0,0,0,1,0
S100,jellyfish,clownfish,0,1,0,0,0,0,1,1
S100,rhinoceros,bear,0,1,0,0,0,0,1,0
S100,mule,frog,0,1,0,0,0,0,1,0
S100,prairiedog,kangaroo,0,1,0,0,0,0,1,0
S100,eagle,chipmunk,0,1,0,0,0,0,1,0
S100,sheep,owl,0,1,1,0,0,0,1,0
S100,starfish,fish,0,1,0,1,1,0,1,1
S100,piranha,penguin,0,0,0,0,0,1,0,0
S100,lamb,chicken,0,1,0,0,0,0,1,1
S100,giraffe,hyena,0,1,0,1,0,0,1,0
S100,cheetah,dodo,1,1,0,0,0,1,1,1
S100,warthog,conure,0,0,0,0,0,1,0,0
S100,bear,kangaroo,0,1,0,0,0,0,1,0
S100,dolphin,cardinal,0,1,0,0,0,0,1,1
S100,brownbear,whale,0,0,0,0,0,1,0,0
S100,crocodile,bluewhale,0,1,0,0,0,0,1,1
S100,canary,chipmunk,0,1,0,1,1,0,1,1
S100,bluejay,beaver,0,1,0,0,0,0,1,0
S100,dolphin,swordfish,0,0,0,0,0,1,0,0
S100,dingo,tiger,0,1,0,0,0,0,0,0
S100,iguana,kangaroo,0,1,0,0,0,0,1,0
S100,cat,fox,0,1,0,0,0,0,1,0
S100,ram,camel,0,0,0,0,0,1,0,0
S100,eagle,falcon,1,1,0,1,1,0,1,1
S100,hawk,bear,0,1,0,0,0,0,1,0
S100,crocodile,lion,0,1,0,0,0,0,0,0
S100,bear,alpaca,0,1,1,0,0,0,1,0
S100,emu,moose,0,1,0,0,0,0,1,0
S100,ant,ladybug,1,1,0,1,0,0,1,1
S100,goat,elk,0,1,0,0,0,0,1,0
S100,shark,koala,0,1,0,0,0,0,1,0
S100,goose,rooster,0,1,0,0,0,0,1,0
S100,horse,bat,0,1,0,0,0,0,1,0
S100,turtle,alligator,0,1,0,0,0,0,1,0
