word,freq,aoa_mean,aoa_sd
ambassador,13.51,11,3.16
ambassadorial,0.04,12.69,3.89
ambassadorship,0.06,13.45,3.52
amber,9.27,9.28,2.44
ambergris,0.2,17.5,2.07
ambiance,0.16,14.78,3.25
ambidextrous,0.24,11.84,4.37
ambience,0.73,13.28,3.2
ambient,0.51,12.8,4.3
ambiguity,0.27,14.06,2.82
ambiguous,0.73,13.67,3.25
ambition,5.35,11.29,2.9
ambitious,4.76,11.05,2.55
ambivalence,0.24,13.37,4.94
ambivalent,0.24,12.12,2.67
amble,0.1,11.87,3.2
ambrosia,0.96,13.82,4.1
ambrosial,0.02,17.12,4.59
ambulance,22.41,6.16,2.19
ambulation,0.02,15.36,4.43
ambulatory,0.24,12.59,2.92
ambuscade,#N/A,NA,NA
ambush,5.43,9.3,1.72
ameliorate,0.04,13.67,2.5
amelioration,0.02,16.25,5.01
amen,25.98,5.8,4.19
amenable,0.18,14.14,2.32
amend,0.75,11.39,3.71
amendment,4.1,10.06,2.53
amends,1.84,10.16,2.67
americanize,0.02,12.44,3.6
